Subject,Question,A,B,C,D,Answer
Rajasthan GK,राजस्थान की राजधानी क्या है?,जोधपुर,जयपुर,उदयपुर,अजमेर,b
Rajasthan GK,राजस्थान का राज्य पक्षी कौन सा है?,मोर,गोडावण,तोता,कबूतर,b
Rajasthan GK,राजस्थान का राज्य वृक्ष कौन सा है?,नीम,बरगद,खेजड़ी,पीपल,c
Rajasthan GK,राजस्थान का राज्य पशु (वन्यजीव) कौन सा है?,बाघ,शेर,चिंकारा,हाथी,c
Rajasthan GK,राजस्थान का राज्य पशु (पालतू) कौन सा है?,गाय,भैंस,ऊंट,भेड़,c
Rajasthan GK,राजस्थान का 'गुलाबी नगर' (Pink City) किसे कहते हैं?,उदयपुर,जयपुर,जैसलमेर,बीकानेर,b
Rajasthan GK,राजस्थान के प्रथम मुख्यमंत्री कौन थे?,हीरालाल शास्त्री,मोहनलाल सुखाड़िया,अशोक गहलोत,वसुंधरा राजे,a
Rajasthan GK,क्षेत्रफल की दृष्टि से राजस्थान का सबसे बड़ा जिला कौन सा है?,जैसलमेर,बाड़मेर,बीकानेर,जोधपुर,a
Rajasthan GK,राजस्थान में 'झीलों की नगरी' किसे कहा जाता है?,जयपुर,कोटा,उदयपुर,अजमेर,c
Rajasthan GK,'थार का मरुस्थल' राजस्थान के लगभग कितने प्रतिशत भाग में फैला है?,40%,61%,50%,70%,b
Rajasthan GK,हवा महल कहां स्थित है?,जयपुर,जोधपुर,उदयपुर,बीकानेर,a
Rajasthan GK,हवा महल का निर्माण किसने करवाया था?,सवाई जय सिंह,सवाई प्रताप सिंह,सवाई मान सिंह,राणा सांगा,b
Rajasthan GK,राजस्थान की सबसे लंबी नदी कौन सी है जो पूर्णतः राज्य में बहती है?,चंबल,लूनी,बनास,माही,c
Rajasthan GK,गुरु शिखर किस जिले में स्थित है?,सिरोही,उदयपुर,अलवर,अजमेर,a
Rajasthan GK,अरावली पर्वतमाला की सबसे ऊंची चोटी कौन सी है?,अचलगढ़,गुरु शिखर,सेर,देेलवाड़ा,b
Rajasthan GK,विश्व का एकमात्र ब्रह्मा मंदिर कहां स्थित है?,माउंट आबू,पुष्कर,नसीराबाद,ब्यावर,b
Rajasthan GK,केवलादेव घना पक्षी विहार किस जिले में है?,अलवर,भरतपुर,सवाई माधोपुर,करौली,b
Rajasthan GK,किस दुर्ग को 'सोनारगढ़' कहा जाता है?,चित्तौड़गढ़ दुर्ग,जैसलमेर दुर्ग,मेहरानगढ़ दुर्ग,आमेर दुर्ग,b
Rajasthan GK,प्रसिद्ध 'घूमर' नृत्य किस राज्य से संबंधित है?,गुजरात,पंजाब,राजस्थान,हरियाणा,c
Rajasthan GK,कालबेलिया नृत्य किस जाति द्वारा किया जाता है?,भील,मीणा,कालबेलिया,गरासिया,c
Rajasthan GK,ख्वाजा मोईनुद्दीन चिश्ती की दरगाह कहां स्थित है?,जयपुर,अजमेर,नागौर,टोंक,b
Rajasthan GK,राजस्थान का 'नीला शहर' (Blue City) किसे कहते हैं?,जयपुर,जोधपुर,उदयपुर,बीकानेर,b
Rajasthan GK,राजस्थान का गांधी किसे कहा जाता है?,गोकुल भाई भट्ट,जमुनालाल बजाज,हीरालाल शास्त्री,माणिक्य लाल वर्मा,a
Rajasthan GK,राजस्थान दिवस कब मनाया जाता है?,15 अगस्त,26 जनवरी,30 मार्च,1 नवंबर,c
Rajasthan GK,किस नदी को राजस्थान की 'कामधेनु' कहा जाता है?,चंबल,लूनी,माही,बनास,a
Rajasthan GK,राजस्थान में परमाणु ऊर्जा संयंत्र (Atomic Power Plant) कहां स्थित है?,कोटा,रावतभाटा,सूरतगढ़,बांसवाड़ा,b
Rajasthan GK,'थेवा कला' के लिए प्रसिद्ध जिला कौन सा है?,जयपुर,प्रतापगढ़,बीकानेर,अलवर,b
Rajasthan GK,हल्दीघाटी का युद्ध किस वर्ष लड़ा गया था?,1527,1576,1761,1191,b
Rajasthan GK,महाराणा प्रताप ने हल्दीघाटी के युद्ध में किसके विरुद्ध लड़ाई लड़ी?,बाबर,अकबर,हुमायूं,जहांगीर,b
Rajasthan GK,राजस्थान में सबसे कम साक्षरता वाला जिला कौन सा है?,जालोर,सिरोही,प्रतापगढ़,बांसवाड़ा,a
Rajasthan GK,'मरु उद्यान' (Desert National Park) कहां स्थित है?,जोधपुर,जैसलमेर-बाड़मेर,बीकानेर,चूरू,b
Rajasthan GK,'पृथ्वीराज रासो' के रचयिता कौन हैं?,चंदबरदाई,जयानक,सोमदेव,नरपति नाल्ह,a
Rajasthan GK,लूनी नदी का जल कहां जाकर गिरता है?,बंगाल की खाड़ी,कच्छ का रण,अरब सागर,खंभात की खाड़ी,b
Rajasthan GK,राजस्थान का 'मैनचेस्टर' किसे कहा जाता है?,भीलवाड़ा,कोटा,जयपुर,पाली,a
Rajasthan GK,बाबा रामदेव जी का मेला कहां भरता है?,रामदेवरा (जैसलमेर),परबतसर,देशनोक,गोगामेड़ी,a
Rajasthan GK,करणी माता का मंदिर (चूहों वाला मंदिर) कहां स्थित है?,देशनोक,कोलायत,नोखा,खाजूवाला,a
Rajasthan GK,पुष्कर मेला किस माह में लगता है?,कार्तिक,चैत्र,वैशाख,फाल्गुन,a
Rajasthan GK,राजस्थान का राज्य पुष्प कौन सा है?,कमल,रोहिड़ा,गुलाब,गेंदा,b
Rajasthan GK,कर्क रेखा राजस्थान के किन जिलों से होकर गुजरती है?,डूंगरपुर-बांसवाड़ा,जैसलमेर-बाड़मेर,गंगानगर-हनुमानगढ़,कोटा-बूंदी,a
Rajasthan GK,आमेर का किला कहां स्थित है?,जयपुर,जोधपुर,उदयपुर,अलवर,a
Rajasthan GK,जयपुर शहर की स्थापना किसने की थी?,सवाई जय सिंह द्वितीय,सवाई प्रताप सिंह,ईश्वरी सिंह,माधो सिंह,a
Rajasthan GK,किस नदी को 'वन की आशा' (वर्णाशा) कहा जाता है?,बनास,चंबल,लूनी,माही,a
Rajasthan GK,केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान (CAZRI) कहां स्थित है?,जैसलमेर,बीकानेर,जोधपुर,बाड़मेर,c
Rajasthan GK,काले हिरण किस अभयारण्य में पाए जाते हैं?,तालछापर (चूरू),सरिस्का,रणथंभौर,दर्रा,a
Rajasthan GK,सीसा और जस्ता के उत्पादन में राजस्थान का कौन सा स्थान है?,प्रथम,द्वितीय,तृतीय,चतुर्थ,a
Rajasthan GK,एशिया की सबसे बड़ी ऊन मंडी कहां स्थित है?,जोधपुर,बीकानेर,जैसलमेर,बाड़मेर,b
Rajasthan GK,सांपों के देवता के रूप में कौन पूजे जाते हैं?,गोगाजी,रामदेवजी,पाबूजी,हड़बूजी,a
Rajasthan GK,'बणी-ठणी' चित्र शैली किस स्थान से संबंधित है?,किशनगढ़,मेवाड़,मारवाड़,बूंदी,a
Rajasthan GK,राजस्थान में सर्वाधिक सीमेंट उत्पादन कहां होता है?,चित्तौड़गढ़,कोटा,बूंदी,सिरोही,a
Rajasthan GK,राजस्थान की 'सूर्य नगरी' (Sun City) किसे कहते हैं?,जैसलमेर,जोधपुर,बीकानेर,उदयपुर,b
Rajasthan GK,राजस्थान की जलवायु मुख्य रूप से कैसी है?,उष्णकटिबंधीय,शुष्क और अर्द्ध-शुष्क,आर्द्र,शीत,b
Rajasthan GK,किस शासक को 'हिन्दू सुरताण' कहा जाता है?,राणा कुंभा,राणा सांगा,महाराणा प्रताप,पृथ्वीराज चौहान,a
Rajasthan GK,कालीबंगा सभ्यता के अवशेष किस जिले में मिले हैं?,हनुमानगढ़,गंगानगर,बीकानेर,चूरू,a
Rajasthan GK,'पटवों की हवेली' कहां स्थित है?,जोधपुर,जैसलमेर,बीकानेर,चूरू,b
Rajasthan GK,राजस्थान को दो भागों में बांटने वाली समवर्षा रेखा कौन सी है?,25 सेमी,50 सेमी,75 सेमी,100 सेमी,b
Rajasthan GK,राजस्थान विधानसभा में कुल कितनी सीटें हैं?,200,250,150,545,a
Rajasthan GK,राजस्थान के प्रथम राज्यपाल कौन थे?,गुरुमुख निहाल सिंह,संपूर्णानंद,सरदार हुकम सिंह,जोगेंद्र सिंह,a
Rajasthan GK,राजस्थान उच्च न्यायालय (High Court) कहां स्थित है?,जयपुर,जोधपुर,अजमेर,उदयपुर,b
Rajasthan GK,तीज का त्योहार मुख्य रूप से कहां मनाया जाता है?,जयपुर,जोधपुर,बीकानेर,जैसलमेर,a
Rajasthan GK,गणगौर का त्योहार किस महीने में मनाया जाता है?,चैत्र,वैशाख,ज्येष्ठ,आषाढ़,a
Rajasthan GK,'वंश भास्कर' के रचयिता कौन हैं?,सूर्यमल मिश्रण,चंदबरदाई,बांकीदास,श्यामलदास,a
Rajasthan GK,मेहंदीपुर बालाजी का मंदिर किस जिले में है?,दौसा,करौली,भरतपुर,अलवर,a
Rajasthan GK,चंबल नदी पर बना बांध कौन सा है?,गांधी सागर,राणा प्रताप सागर,जवाहर सागर,उपर्युक्त सभी,d
Rajasthan GK,राजस्थान का राज्य खेल कौन सा है?,क्रिकेट,हॉकी,बास्केटबॉल,कबड्डी,c
Rajasthan GK,राजस्थान का एकीकरण (Integration) कब पूर्ण हुआ?,1949,1950,1956,1947,c
Rajasthan GK,राजस्थान का 'आधुनिक भागीरथ' किसे कहा जाता है?,महाराजा गंगा सिंह,महाराजा शार्दूल सिंह,महाराजा हनवंत सिंह,महाराजा करणी सिंह,a
Rajasthan GK,'राणी सती' का मंदिर कहां स्थित है?,झुंझुनूं,सीकर,चूरू,नागौर,a
Rajasthan GK,'ब्लू पॉटरी' (Blue Pottery) के लिए प्रसिद्ध जिला कौन सा है?,जयपुर,कोटा,अलवर,भरतपुर,a
Rajasthan GK,सरिस्का टाइगर रिजर्व किस जिले में है?,अलवर,भरतपुर,सवाई माधोपुर,धौलपुर,a
Rajasthan GK,'मावट' क्या है?,शीतऋतु में होने वाली वर्षा,ग्रीष्मऋतु में वर्षा,चक्रवात,धूल भरी आंधी,a
Rajasthan GK,पाकिस्तान के साथ राजस्थान के कितने जिले सीमा बनाते हैं? (पुराने अनुसार),2,4,6,5,b
Rajasthan GK,राजस्थान की सबसे लंबी नहर कौन सी है?,गंग नहर,इंदिरा गांधी नहर,भरतपुर नहर,गुड़गांव नहर,b
Rajasthan GK,'गोविंद देव जी' का मंदिर कहां स्थित है?,जयपुर,वृंदावन,मथुरा,सीकर,a
Rajasthan GK,चित्तौड़गढ़ में 'विजय स्तंभ' का निर्माण किसने करवाया?,राणा कुंभा,राणा सांगा,राणा प्रताप,राणा हम्मीर,a
Rajasthan GK,'विश्नोई' संप्रदाय के प्रवर्तक कौन थे?,जाम्भोजी,जसनाथजी,दादूदयाल,रामचरण,a
Rajasthan GK,भील जनजाति मुख्य रूप से किस क्षेत्र में निवास करती है?,पूर्वी राजस्थान,दक्षिणी राजस्थान,पश्चिमी राजस्थान,उत्तरी राजस्थान,b
Rajasthan GK,राजस्थान की प्रथम महिला मुख्यमंत्री कौन थीं?,वसुंधरा राजे,कमला बेनीवाल,प्रतिभा पाटिल,गिरिजा व्यास,a
Rajasthan GK,'बावड़ियों का शहर' (City of Stepwells) किसे कहते हैं?,बूंदी,कोटा,जयपुर,जोधपुर,a
Rajasthan GK,राष्ट्रीय सरसों अनुसंधान केंद्र कहां स्थित है?,सेवर (भरतपुर),अलवर,जयपुर,टोंक,a
Rajasthan GK,पंचायती राज व्यवस्था का शुभारंभ राजस्थान के किस जिले से हुआ?,नागौर,जयपुर,अजमेर,उदयपुर,a
Rajasthan GK,नागौर जिला किस मेले के लिए प्रसिद्ध है?,पशु मेला,पुस्तक मेला,विज्ञान मेला,हस्तशिल्प मेला,a
Rajasthan GK,चंबल नदी किन राज्यों के मध्य सीमा बनाती है?,राजस्थान-गुजरात,राजस्थान-मध्यप्रदेश,राजस्थान-पंजाब,राजस्थान-हरियाणा,b
Rajasthan GK,अरावली पर्वतमाला किस प्रकार की पर्वतमाला है?,वलित (Folded),ब्लॉक,ज्वालामुखी,अवशिष्ट,d
Rajasthan GK,मंडोर के 'वीरों का दालान' (Hall of Heroes) कहां है?,जोधपुर,जयपुर,बीकानेर,जैसलमेर,a
Rajasthan GK,'कैमल मैन' (Camel Man) के नाम से किसे जाना जाता है?,अशोक टांक,कैलाश सांखला,अमृता देवी,सुंदरलाल बहुगुणा,a
Rajasthan GK,ईसबगोल का सर्वाधिक उत्पादन किस जिले में होता है?,जालोर,सिरोही,बाड़मेर,पाली,a
Rajasthan GK,बूंदी चित्र शैली किसके लिए प्रसिद्ध है?,पशु-पक्षियों के चित्रण के लिए,प्राकृतिक दृश्यों के लिए,धार्मिक चित्रों के लिए,शिकार दृश्यों के लिए,a
Rajasthan GK,'चोखी ढाणी' कहां स्थित है?,जयपुर,जोधपुर,उदयपुर,कोटा,a
Rajasthan GK,'केसरिया बालम आवो नी पधारो म्हारे देश' गीत किसने गाया?,अल्लाह जिलाई बाई,गवरी बाई,मांगी बाई,फलकू बाई,a
Rajasthan GK,क्षेत्रफल की दृष्टि से सबसे छोटा जिला कौन सा है (पुराना)?,धौलपुर,दौसा,डूंगरपुर,राजसमंद,a
Rajasthan GK,रणथंभौर दुर्ग कहां स्थित है?,सवाई माधोपुर,अलवर,करौली,भरतपुर,a
Rajasthan GK,आनासागर झील का निर्माण किसने करवाया?,अर्णोराज (आनाजी),पृथ्वीराज तृतीय,अजयराज,सोमेश्वर,a
Rajasthan GK,राजस्थान का 'नागपुर' किसे कहते हैं?,झालावाड़,कोटा,बारां,बूंदी,a
Rajasthan GK,84 खंभों की छतरी कहां स्थित है?,बूंदी,अलवर,कोटा,झालावाड़,a
Rajasthan GK,जगदीश मंदिर कहां स्थित है?,उदयपुर,जयपुर,कोटा,अलवर,a
Rajasthan GK,कौन से लोक देवता 'लाछा गुजरी' से संबंधित हैं?,तेजाजी,पाबूजी,रामदेवजी,गोगाजी,a
Rajasthan GK,दादूपंथ की प्रमुख पीठ कहां स्थित है?,नरेना (जयपुर),सांगानेर,आमेर,चौमू,a
Rajasthan GK,मेहरानगढ़ दुर्ग किस पहाड़ी पर स्थित है?,चिड़ियाटूक पहाड़ी,त्रिकूट पहाड़ी,हर्ष पर्वत,नाग पहाड़,a
Rajasthan GK,राजस्थान में 'ब्रह्मा जी' का दूसरा मंदिर कहां है?,आसोतरा (बाड़मेर),पुष्कर,ब्यावर,किराडू,a
Rajasthan GK,माउंट आबू को 'राजस्थान का शिमला' किसने कहा?,कर्नल जेम्स टॉड,जॉर्ज थॉमस,अबुल फजल,ह्वेनसांग,a
Rajasthan GK,राजस्थान का राज्य वाद्य यंत्र कौन सा है?,अलगोजा,शहनाई,ढोलक,बांसुरी,a